"firstName","familyName","fullName","start","einde","title","rangorde","mandataris","persoon"
"- Wivina","Demeester De Meyer","- Wivina Demeester De Meyer",1995-06-20,1999-07-13,"VM van Financiën, Begroting en Gezondheidsbeleid",,"http://kanselarij.vo.data.gift/id/mandatarissen/81fbf410-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fbf2d0-dec2-11e9-aa72-0242c0a80002"
"Dirk","Van Mechelen","Dirk Van Mechelen",2007-06-28,2009-07-13,"VM van Institutionele Hervormingen, Havens, Landbouw, Zeevisserij en Plattelandsbeleid",,"http://kanselarij.vo.data.gift/id/mandatarissen/81e08a90-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ddb23e-dec2-11e9-aa72-0242c0a80002"
"Freya","Van Den Bossche","Freya Van Den Bossche",2009-07-13,2014-07-25,"VM van Financiën, Begroting, Werk, Ruimtelijke Ordening en Sport",,"http://kanselarij.vo.data.gift/id/mandatarissen/81dd3cd2-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81c3cea0-dec2-11e9-aa72-0242c0a80002"
"Hilde","Crevits","Hilde Crevits",2009-07-13,2014-07-25,"VM van Mobiliteit en Openbare Werken",,"http://kanselarij.vo.data.gift/id/mandatarissen/81c3a8a8-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819eb368-dec2-11e9-aa72-0242c0a80002"
"Theo","Kelchtermans","Theo Kelchtermans",1995-06-20,1999-07-13,"VM van Openbare Werken, Ruimtelijke Ordening en Binnenlandse Aangelegenheden",,"http://kanselarij.vo.data.gift/id/mandatarissen/8202ab5c-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fbedc6-dec2-11e9-aa72-0242c0a80002"
"Hilde","Crevits","Hilde Crevits",2007-06-28,2009-07-13,"Minister-president van de Vlaamse Regering",,"http://kanselarij.vo.data.gift/id/mandatarissen/81de51da-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819eb368-dec2-11e9-aa72-0242c0a80002"
"Leona","Detiège","Leona Detiège",1995-06-20,1999-07-13,"VM van Tewerkstelling en Sociale Aangelegenheden",,"http://kanselarij.vo.data.gift/id/mandatarissen/8203a5de-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8203a46c-dec2-11e9-aa72-0242c0a80002"
"Norbert","De Batselier","Norbert De Batselier",1988-10-18,1992-01-21,"GM van Economie, Middenstand en Energie",,"http://kanselarij.vo.data.gift/id/mandatarissen/820ef10a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8202a62a-dec2-11e9-aa72-0242c0a80002"
"Jo","Vandeurzen","Jo Vandeurzen",2014-05-25,2019-07-02,"VM van Welzijn, Volksgezondheid en Gezin",,"http://kanselarij.vo.data.gift/id/mandatarissen/819f4634-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819ebc82-dec2-11e9-aa72-0242c0a80002"
"Geert","Bourgeois","Geert Bourgeois",2009-07-13,2014-07-25,"VM van Bestuurszaken, Binnenlands Bestuur, Inburgering, Toerisme en Vlaamse Rand",,"http://kanselarij.vo.data.gift/id/mandatarissen/81c3a72c-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819f36e4-dec2-11e9-aa72-0242c0a80002"
"Kris","Peeters","Kris Peeters",2007-06-28,2009-07-13,"Minister-president van de Vlaamse regering",,"http://kanselarij.vo.data.gift/id/mandatarissen/81de19d6-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81c39f20-dec2-11e9-aa72-0242c0a80002"
"Freya","Van Den Bossche","Freya Van Den Bossche",2009-07-13,2014-07-25,"VM van Bestuurszaken",,"http://kanselarij.vo.data.gift/id/mandatarissen/81dd803e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81c3cea0-dec2-11e9-aa72-0242c0a80002"
"Kris","Peeters","Kris Peeters",2009-07-13,2014-07-25,"VM van Economie, Buitenlands Beleid, Landbouw en Plattelandsbeleid",,"http://kanselarij.vo.data.gift/id/mandatarissen/81c3a0e2-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81c39f20-dec2-11e9-aa72-0242c0a80002"
"Kris","Peeters","Kris Peeters",2004-07-20,2007-06-27,"VM van Institutionele Hervormingen, Havens, Landbouw, Zeevisserij en Plattelandsbeleid",,"http://kanselarij.vo.data.gift/id/mandatarissen/81e5a3a4-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81c39f20-dec2-11e9-aa72-0242c0a80002"
"Freya","Van Den Bossche","Freya Van Den Bossche",2009-07-13,2014-07-25,"VM van Energie",,"http://kanselarij.vo.data.gift/id/mandatarissen/81dd556e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81c3cea0-dec2-11e9-aa72-0242c0a80002"
"Sven","Gatz","Sven Gatz",2019-07-02,,"VM van Brusselse aangelegenheden",,"http://kanselarij.vo.data.gift/id/mandatarissen/819f24d8-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/819efec2-dec2-11e9-aa72-0242c0a80002"
"Johan","Sauwens","Johan Sauwens",1999-07-13,2003-06-05,"VM van Binnenlandse Aangelegenheden, Ambtenarenzaken en Sport",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f7a6a8-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81cd593e-dec2-11e9-aa72-0242c0a80002"
"Jaak","Gabriels","Jaak Gabriels",1999-07-13,2003-06-05,"VM van Economie, Buitenlandse Handel en Huisvesting",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f41b64-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81f13868-dec2-11e9-aa72-0242c0a80002"
"Patrick","Dewael","Patrick Dewael",1988-10-18,1992-01-21,"GM van Cultuur",,"http://kanselarij.vo.data.gift/id/mandatarissen/820eece6-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81f12d5a-dec2-11e9-aa72-0242c0a80002"
"Luc","Van Den Brande","Luc Van Den Brande",1995-06-20,1999-07-13,"VM van Buitenlands Beleid, Europese Aangelegenheden, Wetenschap en Technologie",,"http://kanselarij.vo.data.gift/id/mandatarissen/81fbe48e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fbddb8-dec2-11e9-aa72-0242c0a80002"
"Bert","Anciaux","Bert Anciaux",2007-06-28,2009-07-13,"VM van Financiën en Begroting en Ruimtelijke Ordening",,"http://kanselarij.vo.data.gift/id/mandatarissen/81e0ad5e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ddbe50-dec2-11e9-aa72-0242c0a80002"
"Johan","Sauwens","Johan Sauwens",2009-07-13,2014-07-25,"VM van Binnenlandse Aangelegenheden, Ambtenarenzaken en Sport",,"http://kanselarij.vo.data.gift/id/mandatarissen/81cd5b0a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81cd593e-dec2-11e9-aa72-0242c0a80002"
"Guy","Vanhengel","Guy Vanhengel",1999-07-13,2003-06-05,"VM van Sport en Hoofdstedelijke Aangelegenheden",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f15780-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81f1565e-dec2-11e9-aa72-0242c0a80002"
"Veerle","Heeren","Veerle Heeren",2007-06-28,2009-07-13,"VM van Welzijn, Volksgezondheid en Gezin",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ddc90e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ddc846-dec2-11e9-aa72-0242c0a80002"
"Jan","Lenssens","Jan Lenssens",1988-10-18,1992-01-21,"GM van Welzijn en Gezin",,"http://kanselarij.vo.data.gift/id/mandatarissen/820f1072-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/820f0eba-dec2-11e9-aa72-0242c0a80002"
"Inge","Vervotte","Inge Vervotte",2004-07-20,2007-06-27,"VM van Welzijn, Volksgezondheid en Gezin",,"http://kanselarij.vo.data.gift/id/mandatarissen/81e4bc46-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81def414-dec2-11e9-aa72-0242c0a80002"
"Brigitte","Grouwels","Brigitte Grouwels",1995-06-20,1999-07-13,"VM van Brusselse Aangelegenheden en Gelijkekansenbeleid",,"http://kanselarij.vo.data.gift/id/mandatarissen/81fc4cf8-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fc4b40-dec2-11e9-aa72-0242c0a80002"
"Paul","Van Grembergen","Paul Van Grembergen",1999-07-13,2003-06-05,"VM van Binnenlandse Aangelegenheden, Cultuur, Jeugd en Ambtenarenzaken",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f14e48-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ecc59e-dec2-11e9-aa72-0242c0a80002"
"Steve","Stevaert","Steve Stevaert",1999-07-13,2003-06-05,"VM van Mobiliteit, Openbare Werken en Energie",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f1e1aa-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81f1e056-dec2-11e9-aa72-0242c0a80002"
"Veerle","Heeren","Veerle Heeren",2007-06-28,2009-07-13,"VM van Mobiliteit, Sociale Economie en Gelijke Kansen",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ddd908-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ddc846-dec2-11e9-aa72-0242c0a80002"
"Bert","Anciaux","Bert Anciaux",2007-06-28,2009-07-13,"VM van Cultuur, Jeugd, Sport en Brussel",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ddbf18-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ddbe50-dec2-11e9-aa72-0242c0a80002"
"Paul","Van Grembergen","Paul Van Grembergen",2003-06-10,2004-07-20,"VM van Binnenlandse Aangelegenheden, Cultuur, Jeugd en Ambtenarenzaken",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ecc698-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ecc59e-dec2-11e9-aa72-0242c0a80002"
"Marleen","Vanderpoorten","Marleen Vanderpoorten",1999-07-13,2003-06-05,"VM van Onderwijs en Vorming",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f13e62-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ecc95e-dec2-11e9-aa72-0242c0a80002"
"Bert","Anciaux","Bert Anciaux",1999-07-13,2003-06-05,"VM van Cultuur, Jeugd, Brusselse Aangelegenheden en Ontwikkelingssamenwerking",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f68174-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ddbe50-dec2-11e9-aa72-0242c0a80002"
"Daniël","Coens","Daniël Coens",1988-10-18,1992-01-21,"GM van Onderwijs",,"http://kanselarij.vo.data.gift/id/mandatarissen/820f1946-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/820f1784-dec2-11e9-aa72-0242c0a80002"
"Leo","Peeters","Leo Peeters",1992-10-20,1995-06-20,"VM van Tewerkstelling en Sociale Aangelegenheden",,"http://kanselarij.vo.data.gift/id/mandatarissen/82063006-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fbf960-dec2-11e9-aa72-0242c0a80002"
"Mieke","Vogels","Mieke Vogels",1999-07-13,2003-06-05,"VM van Welzijn, Gezondheid en Gelijke Kansen",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f41ed4-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81f13318-dec2-11e9-aa72-0242c0a80002"
"Bart","Tommelein","Bart Tommelein",2014-05-25,2019-07-02,"VM van Begroting, Financiën en Energie",,"http://kanselarij.vo.data.gift/id/mandatarissen/81a42b9a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81a42adc-dec2-11e9-aa72-0242c0a80002"
"Johan","Sauwens","Johan Sauwens",1995-06-20,1999-07-13,"VM van Verkeer, Buitenlandse Handel en Staatshervorming",,"http://kanselarij.vo.data.gift/id/mandatarissen/82038f2c-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81cd593e-dec2-11e9-aa72-0242c0a80002"
"Louis","Waltniel","Louis Waltniel",1988-10-18,1992-01-21,"GM van Ruimtelijke Ordening en Huisvesting",,"http://kanselarij.vo.data.gift/id/mandatarissen/820f0aaa-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/820f08fc-dec2-11e9-aa72-0242c0a80002"
"Marleen","Vanderpoorten","Marleen Vanderpoorten",2003-06-10,2004-07-20,"VM van Onderwijs en Vorming",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ecca62-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ecc95e-dec2-11e9-aa72-0242c0a80002"
"Paul","Van Grembergen","Paul Van Grembergen",1999-07-13,2003-06-05,"VM van Binnenlandse Aangelegenheden, Ambtenarenzaken en Buitenlands Beleid",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f410ec-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ecc59e-dec2-11e9-aa72-0242c0a80002"
"Eddy","Baldewijns","Eddy Baldewijns",1995-06-20,1999-07-13,"VM van Onderwijs en Ambtenarenzaken",,"http://kanselarij.vo.data.gift/id/mandatarissen/81fbe1e6-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fbe0b0-dec2-11e9-aa72-0242c0a80002"
"Johan","Sauwens","Johan Sauwens",1992-10-20,1995-06-20,"VM van Verkeer, Buitenlandse Handel en Staatshervorming",,"http://kanselarij.vo.data.gift/id/mandatarissen/820623c2-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81cd593e-dec2-11e9-aa72-0242c0a80002"
"Frank","Vandenbroucke","Frank Vandenbroucke",2007-06-28,2009-07-13,"VM van Werk",,"http://kanselarij.vo.data.gift/id/mandatarissen/81e35554-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ddbbbc-dec2-11e9-aa72-0242c0a80002"
"Adelheid","Byttebier","Adelheid Byttebier",2003-06-10,2004-07-20,"VM van Welzijn, Gezondheid en Gelijke Kansen",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ecdcaa-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ecdb9c-dec2-11e9-aa72-0242c0a80002"
"Bart","Somers","Bart Somers",2003-06-10,2004-07-20,"Minister-president van de Vlaamse regering",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ecd048-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81eccf44-dec2-11e9-aa72-0242c0a80002"
"Hugo","Weckx","Hugo Weckx",1992-10-20,1995-06-20,"GM van Cultuur en Brusselse Aangelegenheden",,"http://kanselarij.vo.data.gift/id/mandatarissen/820ec1ee-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82033fb8-dec2-11e9-aa72-0242c0a80002"
"Luc","Martens","Luc Martens",1995-06-20,1999-07-13,"VM van Cultuur, Gezin en Welzijn",,"http://kanselarij.vo.data.gift/id/mandatarissen/81fc093c-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fc07e8-dec2-11e9-aa72-0242c0a80002"
"Jaak","Gabriels","Jaak Gabriels",1999-07-13,2003-06-05,"VM van Economie, Buitenlands Beleid, Buitenlandse Handel en Huisvesting",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f13980-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81f13868-dec2-11e9-aa72-0242c0a80002"
"Bert","Anciaux","Bert Anciaux",1999-07-13,2003-06-05,"VM van Cultuur, Jeugd, Sport, Brusselse Aangelegenheden en Ontwikkelingssamenwerking",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f4229e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ddbe50-dec2-11e9-aa72-0242c0a80002"
"Anne","Van Asbroeck","Anne Van Asbroeck",1995-06-20,1999-07-13,"VM van Brusselse Aangelegenheden en Gelijke Kansenbeleid",,"http://kanselarij.vo.data.gift/id/mandatarissen/8200a3d4-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8200a258-dec2-11e9-aa72-0242c0a80002"
"Eric","Van Rompuy","Eric Van Rompuy",1995-06-20,1999-07-13,"VM van Economie, KMO, Landbouw en Media",,"http://kanselarij.vo.data.gift/id/mandatarissen/81fbe7ea-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fbe6b4-dec2-11e9-aa72-0242c0a80002"
"Johan","Sauwens","Johan Sauwens",1988-10-18,1992-01-21,"GM van Openbare Werken en Verkeer",,"http://kanselarij.vo.data.gift/id/mandatarissen/820ee2c8-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81cd593e-dec2-11e9-aa72-0242c0a80002"
"Luc","Van Den Bossche","Luc Van Den Bossche",1992-02-05,1992-10-20,"GM van Onderwijs en Ambtenarenzaken",,"http://kanselarij.vo.data.gift/id/mandatarissen/820cd5a0-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ffa7ea-dec2-11e9-aa72-0242c0a80002"
"Inge","Vervotte","Inge Vervotte",2007-06-28,2009-07-13,"VM van Mobiliteit, Sociale Economie en Gelijke Kansen",,"http://kanselarij.vo.data.gift/id/mandatarissen/81def572-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81def414-dec2-11e9-aa72-0242c0a80002"
"Bert","Anciaux","Bert Anciaux",1999-07-13,2003-06-05,"VM van Cultuur, Jeugd, Stedelijk Beleid, Huisvesting en Brusselse Aangelegenheden",,"http://kanselarij.vo.data.gift/id/mandatarissen/81fa9d7c-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ddbe50-dec2-11e9-aa72-0242c0a80002"
"Yves","Leterme","Yves Leterme",2004-07-20,2007-06-27,"Minister-president van de Vlaamse regering",,"http://kanselarij.vo.data.gift/id/mandatarissen/81e4d1a4-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81e4b502-dec2-11e9-aa72-0242c0a80002"
,"Kelchtermans","Kelchtermans",1992-10-20,1995-06-20,"VM Openbare Werken, Ruimtelijke Ordening en  Binnenlandse Aangelegenheden",,"http://kanselarij.vo.data.gift/id/mandatarissen/8206822c-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fc8736-dec2-11e9-aa72-0242c0a80002"
,"Geens","Geens",1988-10-18,1992-01-21,"Voozitter",,"http://kanselarij.vo.data.gift/id/mandatarissen/820f538e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/820ed3f0-dec2-11e9-aa72-0242c0a80002"
,"Demeester-De Meyer","Demeester-De Meyer",1992-10-20,1995-06-20,"VM Financiën en Begroting, Gezondheidsinstelling",,"http://kanselarij.vo.data.gift/id/mandatarissen/820cc0e2-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82047964-dec2-11e9-aa72-0242c0a80002"
,"Kelchtermans","Kelchtermans",1988-10-18,1992-01-21,"GM Tewerkstelling",,"http://kanselarij.vo.data.gift/id/mandatarissen/82103394-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fc8736-dec2-11e9-aa72-0242c0a80002"
,"Keulen","Keulen",2004-07-20,2007-06-27,"VM Binnenlands Bestuur, Stedenbeleid, Wonen en Inburgering",,"http://kanselarij.vo.data.gift/id/mandatarissen/81e6133e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81e200fa-dec2-11e9-aa72-0242c0a80002"
,"Akkermans","Akkermans",1981-12-22,1985-12-10,"GM Ruimtelijke ordening, Landinrichting en Natuurbehoud",,"http://kanselarij.vo.data.gift/id/mandatarissen/821c11a0-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/821662a0-dec2-11e9-aa72-0242c0a80002"
,"Lenssens","Lenssens",1988-02-03,1988-10-18,"GM van Welzijn, Gezin en Volksgezondheid",,"http://kanselarij.vo.data.gift/id/mandatarissen/82159d0c-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/820f017c-dec2-11e9-aa72-0242c0a80002"
,"Pede","Pede",1985-12-10,1988-02-03,"GM Binnenlandse Aangelegeneheden en Ruimtelijke Ordening",,"http://kanselarij.vo.data.gift/id/mandatarissen/8217ea58-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8215ebd6-dec2-11e9-aa72-0242c0a80002"
,"Lenssens","Lenssens",1985-12-10,1988-02-03,"GM Volkgsgezondheid en Leefmilieu",,"http://kanselarij.vo.data.gift/id/mandatarissen/82171150-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/820f017c-dec2-11e9-aa72-0242c0a80002"
,"De Batselier","De Batselier",1988-10-18,1992-01-21,"GM van Economie, Middenstand en Energie",,"http://kanselarij.vo.data.gift/id/mandatarissen/82109730-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8205fcbc-dec2-11e9-aa72-0242c0a80002"
,"Beysen","Beysen",1988-02-03,1988-10-18,"GM Binnenlande Aangelegenheden en Ruimtelijke Ordening",,"http://kanselarij.vo.data.gift/id/mandatarissen/82150b9e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8214aadc-dec2-11e9-aa72-0242c0a80002"
,"Kelchtermans","Kelchtermans",1985-12-10,1988-02-03,"GM van Onderwijs en Vorming",,"http://kanselarij.vo.data.gift/id/mandatarissen/82161192-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fc8736-dec2-11e9-aa72-0242c0a80002"
,"Demeester-De Meyer","Demeester-De Meyer",1992-10-20,1995-06-20,"VM Financien en Begroting, Gezondheidsinstellingen,                    Welzijn en Gezin",,"http://kanselarij.vo.data.gift/id/mandatarissen/8206ae50-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82047964-dec2-11e9-aa72-0242c0a80002"
,"Demeester - De Meyer","Demeester - De Meyer",1992-10-20,1995-06-20,"VM Financiën en Begroting, Gezondheidsinstellingen, Welzijn en Gezin",,"http://kanselarij.vo.data.gift/id/mandatarissen/820c79c0-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8205da48-dec2-11e9-aa72-0242c0a80002"
,"Ceysens","Ceysens",2003-06-10,2004-07-20,"VM Economie, Buitenlands Beleid en E-government",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ef39aa-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81e23a70-dec2-11e9-aa72-0242c0a80002"
,"De Batselier","De Batselier",1988-10-18,1992-01-21,"GM Economie, Middenstand",,"http://kanselarij.vo.data.gift/id/mandatarissen/82145956-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8205fcbc-dec2-11e9-aa72-0242c0a80002"
,"Akkermans","Akkermans",1981-12-22,1985-12-10,"GM van Ruimtelijke Ordening, Landinrichting en Natuurbehoud",,"http://kanselarij.vo.data.gift/id/mandatarissen/821cb70e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/821662a0-dec2-11e9-aa72-0242c0a80002"
,"De Batselier","De Batselier",1988-10-18,1992-01-21,"GM Economie, Middenstand en Energie",,"http://kanselarij.vo.data.gift/id/mandatarissen/820edbf2-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8205fcbc-dec2-11e9-aa72-0242c0a80002"
,"Kelchtermans","Kelchtermans",1992-02-05,1992-10-20,"GM Openbare Werken, Ruimtelijke Ordening en Binnenlandse Aangelegenheden",,"http://kanselarij.vo.data.gift/id/mandatarissen/820ce8b0-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fc8736-dec2-11e9-aa72-0242c0a80002"
,"Van Den Bossche","Van Den Bossche",1988-10-18,1992-01-21,"GM van Binnenlandse Aangelegenheden en Openbaar   Ambt",,"http://kanselarij.vo.data.gift/id/mandatarissen/821294d6-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/820d34b4-dec2-11e9-aa72-0242c0a80002"
,"Waltniel","Waltniel",1988-02-03,1988-10-18,"Gm Financiën en Begroting",,"http://kanselarij.vo.data.gift/id/mandatarissen/82151710-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/820ef4a2-dec2-11e9-aa72-0242c0a80002"
,"Kelchtermans","Kelchtermans",1988-02-03,1988-10-18,"GM Tewerkstelling, Onderwijs en Openbaar Ambt",,"http://kanselarij.vo.data.gift/id/mandatarissen/8215410e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fc8736-dec2-11e9-aa72-0242c0a80002"
,"Lenssens","Lenssens",1981-12-22,1985-12-10,"GMgm leefmilieu waterbeleid en onderwijs",,"http://kanselarij.vo.data.gift/id/mandatarissen/821c7ffa-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/820f017c-dec2-11e9-aa72-0242c0a80002"
,"Van den Brande","Van den Brande",1992-01-21,1992-02-05,"Voorzitter",,"http://kanselarij.vo.data.gift/id/mandatarissen/820ea308-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fceda2-dec2-11e9-aa72-0242c0a80002"
,"Keulen","Keulen",2003-06-10,2004-07-20,"VM Wonen, Media en Sport",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ef368a-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81e200fa-dec2-11e9-aa72-0242c0a80002"
,"Kelchtermans","Kelchtermans",1988-10-18,1992-01-21,"GM Leefmilieu, Natuurbehoud, Landinrichting",,"http://kanselarij.vo.data.gift/id/mandatarissen/8213372e-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fc8736-dec2-11e9-aa72-0242c0a80002"
,"De Croo","De Croo",1985-12-10,1988-02-03,"Minister verkeerswezen & buitenlandse handel",,"http://kanselarij.vo.data.gift/id/mandatarissen/82166bec-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8216699e-dec2-11e9-aa72-0242c0a80002"
,"Kelchtermans","Kelchtermans",1988-02-03,1988-10-18,"Gm Tewerkstelling, Vorming en Openbaar Ambt",,"http://kanselarij.vo.data.gift/id/mandatarissen/82152020-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fc8736-dec2-11e9-aa72-0242c0a80002"
