"firstName","familyName","fullName","start","einde","title","rangorde","mandataris","persoon"
,"Martens","Martens",1995-06-20,1999-07-13,"VM Cultuur, Welzijn en Gezin",,"http://kanselarij.vo.data.gift/id/mandatarissen/82056b1c-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81fc1760-dec2-11e9-aa72-0242c0a80002"
,"Van Asbroeck","Van Asbroeck",1995-06-20,1999-07-13,"VM Brusselse Aangelegenheden en Gelijke Kansenbeleid",,"http://kanselarij.vo.data.gift/id/mandatarissen/82050226-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/820500aa-dec2-11e9-aa72-0242c0a80002"
,"De Ryck","De Ryck",1981-12-22,1985-12-10,"Sg min vl gemeenschap",,"http://kanselarij.vo.data.gift/id/mandatarissen/82198dc2-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/8217d68a-dec2-11e9-aa72-0242c0a80002"
,"Schiltz","Schiltz",1981-12-22,1985-12-10,"GM Financien en Begroting",,"http://kanselarij.vo.data.gift/id/mandatarissen/821d3508-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82188cba-dec2-11e9-aa72-0242c0a80002"
,"Buchman","Buchman",1981-12-22,1985-12-10,"GM Huisvesting",,"http://kanselarij.vo.data.gift/id/mandatarissen/821ad7b8-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/821ad4d4-dec2-11e9-aa72-0242c0a80002"
,"Dua","Dua",1999-07-13,2003-06-05,"VM Leefmilieu en Landbouw",,"http://kanselarij.vo.data.gift/id/mandatarissen/81f14560-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81f14448-dec2-11e9-aa72-0242c0a80002"
,"","",1988-10-18,1992-01-21,"GM van Economie, Middenstand en Energie",,"http://kanselarij.vo.data.gift/id/mandatarissen/82126a10-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82126826-dec2-11e9-aa72-0242c0a80002"
,"Byttebier","Byttebier",2003-06-10,2004-07-20,"VM Welzijn, Gezondheid en Gelijke Kansen",,"http://kanselarij.vo.data.gift/id/mandatarissen/81ee6002-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/81ee5ecc-dec2-11e9-aa72-0242c0a80002"
,"Van der Zwalmen","Van der Zwalmen",1981-12-22,1985-12-10,"Griffier",,"http://kanselarij.vo.data.gift/id/mandatarissen/8218dce2-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82172848-dec2-11e9-aa72-0242c0a80002"
,"Galle","Galle",1981-12-22,1985-12-10,"GM Ondergeschikte Besturen en Gesubsidieerde Werken",,"http://kanselarij.vo.data.gift/id/mandatarissen/821cb0b0-dec2-11e9-aa72-0242c0a80002","http://kanselarij.vo.data.gift/id/personen/82186b36-dec2-11e9-aa72-0242c0a80002"
