,Reg of man,Verkiezing,RegeerperiodeVan,RegeerperiodeTot,Referentie bevoegdheidsbesluit in Codex / URL uitslag,Referentie in K,,Naam regering,Naam,Toelichting,SamenstellingVan,SamenstellingTot,VoornaamMandaathouder,AchternaamMandaathouder,Partij,MP/Vice,rang,Titel,Redactioneel kader
371,mandaat,,1992,1995,,,,Van den Brande I.3,Van den Brande I,,,,Johan,Sauwens,VU,,6,"Vlaams minister van Verkeer, Buitenlandse Handel en Staatshervorming",
372,mandaat,,1992,1995,,,,Van den Brande I.3,Van den Brande I,,,,Wivina,Demeester-De Meyer,CVP,,7,"Vlaams minister van Financiën en Begroting, Gezondheidsinstellingen, Welzijn en Gezin",
356,regering,,1992,1995,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1001695&param=informatie ,bij BVR 12/1/1995,https://kaleidos.vlaanderen.be/vergadering/58e2c4e2-dec1-11e9-aa72-0242c0a80002/agenda/58e2c47e-dec1-11e9-aa72-0242c0a80002/agendapunten/58e2cdc0-dec1-11e9-aa72-0242c0a80002/beslissingen,Van den Brande I.4,Van den Brande I,Eedaflegging Leo Peeters op 12.01.1995 - ,1/12/1995,6/12/1995,,,,,,,
357,mandaat,,1992,1995,,,,Van den Brande I.4,Van den Brande I,,,,Luc,Van den Brande,CVP,Minister-president van de Vlaamse regering,1,"Vlaams minister van Economie, KMO, Wetenschapsbeleid, Energie en Externe Betrekkingen",
358,mandaat,,1992,1995,,,,Van den Brande I.4,Van den Brande I,,,,Norbert,De Batselier,SP,Minister vice-president van de Vlaamse regering,2,Vlaams minister van Leefmilieu en Huisvesting,
359,mandaat,,1992,1995,,,,Van den Brande I.4,Van den Brande I,,,,Theo,Kelchtermans,CVP,,3,"Vlaams minister van Openbare Werken, Ruimtelijke Ordening en Binnenlandse Aangelegenheden",
360,mandaat,,1992,1995,,,,Van den Brande I.4,Van den Brande I,,,,Hugo,Weckx,CVP,,4,Vlaams minister van Cultuur en Brusselse Aangelegenheden,
361,mandaat,,1992,1995,,,,Van den Brande I.4,Van den Brande I,,,,Luc,Van den Bossche,SP,,5,Vlaams minister van Onderwijs en Ambtenarenzaken,
362,mandaat,,1992,1995,,,,Van den Brande I.4,Van den Brande I,,,,Johan,Sauwens,VU,,6,"Vlaams minister van Verkeer, Buitenlandse Handel en Staatshervorming",
363,mandaat,,1992,1995,,,,Van den Brande I.4,Van den Brande I,,,,Wivina,Demeester-De Meyer,CVP,,7,"Vlaams minister van Financiën en Begroting, Gezondheidsinstellingen, Welzijn en Gezin",
364,mandaat,,1992,1995,,,,Van den Brande I.4,Van den Brande I,,,,Leo,Peeters,SP,,8,Vlaams minister van  Tewerkstelling en Sociale Aangelegendheden,
348,regering,,1992,1995,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1002850&param=informatie ,BVR 13/6/1995,https://kaleidos.vlaanderen.be/vergadering/58ea6e7c-dec1-11e9-aa72-0242c0a80002/agenda/58ea6e18-dec1-11e9-aa72-0242c0a80002/agendapunten/58ea7818-dec1-11e9-aa72-0242c0a80002/beslissingen,Van den Brande I.5,Van den Brande I,Nortbert De Batselier ontslagnemend; benoemd tot voorzitter van de Vlaamse Raad met ingang van 13.06.1995,6/13/1995,6/19/1995,,,,,,,
349,mandaat,,1992,1995,,,,Van den Brande I.5,Van den Brande I,,,,Luc,Van den Brande,CVP,minister-president van de Vlaamse Regering,1,"Vlaams minister van Economie, KMO, Wetenschapsbeleid, Energie en Externe Betrekkingen",
350,mandaat,,1992,1995,,,,Van den Brande I.5,Van den Brande I,,,,Theo,Kelchtermans,CVP,,2,"Vlaams minister van Openbare Werken, Ruimtelijke Ordening en Binnenlandse Aangelegenheden",
351,mandaat,,1992,1995,,,,Van den Brande I.5,Van den Brande I,,,,Hugo,Weckx,CVP,,3,Vlaams minister van Cultuur en Brusselse Aangelegenheden,
352,mandaat,,1992,1995,,,,Van den Brande I.5,Van den Brande I,,,,Luc,Van den Bossche,SP,,4,Vlaams minister van Onderwijs en Ambtenarenzaken,
353,mandaat,,1992,1995,,,,Van den Brande I.5,Van den Brande I,,,,Johan,Sauwens,VU,,5,"Vlaams minister van Vervoer, Buitenlandse Handel en Staatshervorming",
354,mandaat,,1992,1995,,,,Van den Brande I.5,Van den Brande I,,,,Wivina,Demeester-De Meyer,CVP,,6,"Vlaams minister van Financiën en Begroting, Gezondheidsinstellingen, Welzijn en Gezin",
355,mandaat,,1992,1995,,,,Van den Brande I.5,Van den Brande I,,,,Leo,Peeters,SP,,7,"Vlaamse minister van Tewerkstelling, Sociale Aangelegenheden, Leefmilieu en Huisvesting",
347,periode,5/21/1995,1995,1999,http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=1995-05-21&vt=VL&ko_type=KO_RG&ko=304,,,Van den Brande II,Van den Brande II,,,,,,,,,,"Na de eerste rechtstreekse verkiezing van het Vlaams Parlement legde de regering Van den Brande IV de eed af in het Vlaams Parlement op 20 juni 1995. Die Vlaamse Regering telde negen ministers. Zoals bepaald was in het regeerakkoord, werd van start gegaan met vijf CVP- en vier SP-ministers, en werd halverwege de termijn (op 22 september 1997) de SP-minister Anne Van Asbroeck vervangen door Brigitte Grouwels (CVP), die haar bevoegdheden overnam.
Op 28 september 1998 werd Luc Van den Bossche (SP) als minister-vice-president vervangen door Steve Stevaert, die bevoegd werd voor Openbare Werken, Vervoer en Ruimtelijke Ordening.
Daardoor werd Eddy Baldewijns bevoegd voor Onderwijs en Ambtenarenzaken."
337,regering,,1995,1999,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1020382&param=informatie,BVR 20/6/1995 ,https://kaleidos.vlaanderen.be/vergadering/58ea8a1a-dec1-11e9-aa72-0242c0a80002/agenda/58ea89b6-dec1-11e9-aa72-0242c0a80002/agendapunten/58ea93f2-dec1-11e9-aa72-0242c0a80002/beslissingen,Van den Brande II.1,Van den Brande II,"Eerste rechtstreekse verkiezing Vlaams Parlement op 21 mei 1995
Verkiezingen Federaal Parlement gelijktijdig op 21 mei 1995",6/20/1995,9/21/1997,,,,,,,
338,mandaat,,1995,1999,,,,Van den Brande II.1,Van den Brande II,,,,Luc,Van den Brande,CVP,minister-president van de Vlaamse Regering,1,"Vlaams minister van Buitenlands Beleid, Europese Aangelegenheden, Wetenschap en technologie",
339,mandaat,,1995,1999,,,,Van den Brande II.1,Van den Brande II,,,,Luc,Van den Bossche,SP,minister vice-president van de Vlaamse Regering,2,Vlaams minister van Onderwijs en Ambtenarenzaken,
340,mandaat,,1995,1999,,,,Van den Brande II.1,Van den Brande II,,,,Theo,Kelchtermans,CVP,,3,Vlaams minister van Leefmilieu en Tewerkstelling,
341,mandaat,,1995,1999,,,,Van den Brande II.1,Van den Brande II,,,,Wivina,Demeester-De Meyer,CVP,,4,"Vlaams minister van Financiën, Begroting en Gezondheidsbeleid",
342,mandaat,,1995,1999,,,,Van den Brande II.1,Van den Brande II,,,,Leo,Peeters,SP,,5,"Vlaams minister van Binnenlandse Aangelegenheden, Stedelijk Beleid en Huisvesting",
343,mandaat,,1995,1999,,,,Van den Brande II.1,Van den Brande II,,,,Eddy,Baldewijns,SP,,6,"Vlaams minister van Openbare Werken, Vervoer en Ruimtelijke Ordening",
344,mandaat,,1995,1999,,,,Van den Brande II.1,Van den Brande II,,,,Luc,Martens,CVP,,7,"Vlaams minister van Cultuur, Gezin en Welzijn",
345,mandaat,,1995,1999,,,,Van den Brande II.1,Van den Brande II,,,,Eric,Van Rompuy,CVP,,8,"Vlaams minister van Economie, KMO, Landbouw en Media",
346,mandaat,,1995,1999,,,,Van den Brande II.1,Van den Brande II,,,,Anne,Van Asbroeck,SP,,9,Vlaams minister van Brusselse Aangelegenheden en Gelijke-Kansenbeleid,
327,regering,,1995,1999,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1005599&param=informatie,BVR 22/9/1997 ,https://kaleidos.vlaanderen.be/vergadering/59134194-dec1-11e9-aa72-0242c0a80002/agenda/59134126-dec1-11e9-aa72-0242c0a80002/agendapunten/59134de2-dec1-11e9-aa72-0242c0a80002/beslissingen,Van den Brande II.2,Van den Brande II,Anne Van Asbroeck ontslagnemend en eedaflegging Brigitte Grouwels,9/22/1997,12/31/1997,,,,,,,
328,mandaat,,1995,1999,,,,Van den Brande II.2,Van den Brande II,,,,Luc,Van den Brande,CVP,minister-president van de Vlaamse Regering,1,"Vlaams minister van Buitenlands Beleid, Europese Aangelegenheden, Wetenschap en technologie",
329,mandaat,,1995,1999,,,,Van den Brande II.2,Van den Brande II,,,,Luc,Van den Bossche,SP,minister vice-president van de Vlaamse Regering,2,Vlaams minister van Onderwijs en Ambtenarenzaken,
330,mandaat,,1995,1999,,,,Van den Brande II.2,Van den Brande II,,,,Theo,Kelchtermans,CVP,,3,Vlaams minister van Leefmilieu en Tewerkstelling,
331,mandaat,,1995,1999,,,,Van den Brande II.2,Van den Brande II,,,,Wivina,Demeester-De Meyer,CVP,,4,"Vlaams minister van Financiën, Begroting en Gezondheidsbeleid",
332,mandaat,,1995,1999,,,,Van den Brande II.2,Van den Brande II,,,,Leo,Peeters,SP,,5,"Vlaams minister van Binnenlandse Aangelegenheden, Stedelijk Beleid en Huisvesting",
333,mandaat,,1995,1999,,,,Van den Brande II.2,Van den Brande II,,,,Eddy,Baldewijns,SP,,6,"Vlaams minister van Openbare Werken, Vervoer en Ruimtelijke Ordening",
334,mandaat,,1995,1999,,,,Van den Brande II.2,Van den Brande II,,,,Luc,Martens,CVP,,7,"Vlaams minister van Cultuur, Gezin en Welzijn",
335,mandaat,,1995,1999,,,,Van den Brande II.2,Van den Brande II,,,,Eric,Van Rompuy,CVP,,8,"Vlaams minister van Economie, KMO, Landbouw en Media",
336,mandaat,,1995,1999,,,,Van den Brande II.2,Van den Brande II,,,,Brigitte,Grouwels,CVP,,9,Vlaams minister van Brusselse Aangelegenheden en Gelijke-Kansenbeleid,
317,regering,,1995,1999,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1005901&param=informatie ,BVR  19/12/1997,https://kaleidos.vlaanderen.be/vergadering/591a8ae4-dec1-11e9-aa72-0242c0a80002/agenda/591a8a80-dec1-11e9-aa72-0242c0a80002/agendapunten/591adf6c-dec1-11e9-aa72-0242c0a80002/beslissingen,Van den Brande II.2.b,Van den Brande II,Technische wijziging; ook technisch gewijzigd op 01/11/1998,1/1/1998,9/27/1998,,,,,,,
318,mandaat,,1995,1999,,,,Van den Brande II.2.b,Van den Brande II,,,,Luc,Van den Brande,CVP,minister-president van de Vlaamse Regering,1,"Vlaams minister van Buitenlands Beleid, Europese Aangelegenheden, Wetenschap en technologie",
319,mandaat,,1995,1999,,,,Van den Brande II.2.b,Van den Brande II,,,,Luc,Van den Bossche,SP,minister vice-president van de Vlaamse Regering,2,Vlaams minister van Onderwijs en Ambtenarenzaken,
320,mandaat,,1995,1999,,,,Van den Brande II.2.b,Van den Brande II,,,,Theo,Kelchtermans,CVP,,3,Vlaams minister van Leefmilieu en Tewerkstelling,
321,mandaat,,1995,1999,,,,Van den Brande II.2.b,Van den Brande II,,,,Wivina,Demeester-De Meyer,CVP,,4,"Vlaams minister van Financiën, Begroting en Gezondheidsbeleid",
322,mandaat,,1995,1999,,,,Van den Brande II.2.b,Van den Brande II,,,,Leo,Peeters,SP,,5,"Vlaams minister van Binnenlandse Aangelegenheden, Stedelijk Beleid en Huisvesting",
323,mandaat,,1995,1999,,,,Van den Brande II.2.b,Van den Brande II,,,,Eddy,Baldewijns,SP,,6,"Vlaams minister van Openbare Werken, Vervoer en Ruimtelijke Ordening",
324,mandaat,,1995,1999,,,,Van den Brande II.2.b,Van den Brande II,,,,Luc,Martens,CVP,,7,"Vlaams minister van Cultuur, Gezin en Welzijn",
325,mandaat,,1995,1999,,,,Van den Brande II.2.b,Van den Brande II,,,,Eric,Van Rompuy,CVP,,8,"Vlaams minister van Economie, KMO, Landbouw en Media",
326,mandaat,,1995,1999,,,,Van den Brande II.2.b,Van den Brande II,,,,Brigitte,Grouwels,CVP,,9,Vlaams minister van Brusselse Aangelegenheden en Gelijke-Kansenbeleid,
307,regering,,1995,1999,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1006341&param=informatie,BVR 28/09/1998,https://kaleidos.vlaanderen.be/vergadering/5929f6a0-dec1-11e9-aa72-0242c0a80002/agenda/5929f632-dec1-11e9-aa72-0242c0a80002/agendapunten/5929fcf4-dec1-11e9-aa72-0242c0a80002/beslissingen,Van den Brande II.3,Van den Brande II,Luc Van den Bossche ontslagnemmend en eedaflegging Steve Stevaert,9/28/1998,7/12/1999,,,,,,,
308,mandaat,,1995,1999,,,,Van den Brande II.3,Van den Brande II,,,,Luc,Van den Brande,CVP,minister-president van de Vlaamse Regering,1,"Vlaams minister van Buitenlands Beleid, Europese Aangelegenheden, Wetenschap en technologie",
309,mandaat,,1995,1999,,,,Van den Brande II.3,Van den Brande II,,,,Steve,Stevaert,SP,minister vice-president van de Vlaamse Regering,2,"Vlaams minister van Openbare Werken, Vervoer en Ruimtelijke Ordening",
310,mandaat,,1995,1999,,,,Van den Brande II.3,Van den Brande II,,,,Theo,Kelchtermans,CVP,,3,Vlaams minister van Leefmilieu en Tewerkstelling,
311,mandaat,,1995,1999,,,,Van den Brande II.3,Van den Brande II,,,,Wivina,Demeester-De Meyer,CVP,,4,"Vlaams minister van Financiën, Begroting en Gezondheidsbeleid",
312,mandaat,,1995,1999,,,,Van den Brande II.3,Van den Brande II,,,,Leo,Peeters,SP,,5,"Vlaams minister van Binnenlandse Aangelegenheden, Stedelijk Beleid en Huisvesting",
313,mandaat,,1995,1999,,,,Van den Brande II.3,Van den Brande II,,,,Eddy,Baldewijns,SP,,6,Vlaams minister van Onderwijs en Ambtenarenzaken,
314,mandaat,,1995,1999,,,,Van den Brande II.3,Van den Brande II,,,,Luc,Martens,CVP,,7,"Vlaams minister van Cultuur, Gezin en Welzijn",
315,mandaat,,1995,1999,,,,Van den Brande II.3,Van den Brande II,,,,Eric,Van Rompuy,CVP,,8,"Vlaams minister van Economie, KMO, Landbouw en Media",
316,mandaat,,1995,1999,,,,Van den Brande II.3,Van den Brande II,,,,Brigitte,Grouwels,CVP,,9,Vlaams minister van Brusselse Aangelegenheden en Gelijke-Kansenbeleid,
306,periode,6/13/1999,1999,2004,http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=1999-06-13&vt=VL&ko_type=KO_RG&ko=304,,,Dewael - Somers,Dewael I,,,,,,,,,,"Na de verkiezingen van 13 juni 1999 waren in Vlaanderen voor het eerst minstens drie partijen nodig om een coalitie te vormen. Het werden er uiteindelijk vier: VLD, SP, Agalev en VU-ID. Net zoals de vorige Vlaamse Regering ging deze regering van start met negen ministers: de SP, Agalev en VU-ID leverden elk twee ministers; de VLD drie, onder wie Patrick Dewael, de nieuwe minister-president.
De zogenaamde paars-groen-gele coalitie onderging in de vijf jaar van haar regeerperiode heel wat personeelswissels. Van de oorspronkelijke negen Vlaamse ministers uit 1999 waren er in 2004 nog maar drie in functie.
In mei 2001 moest Johan Sauwens ontslag nemen als minister na onduidelijkheden over zijn aanwezigheid op een feest van gewezen Oostfrontstrijders. Hij werd vervangen door Paul Van Grembergen.
Naast de personeelsbezetting veranderden ook de politieke verhoudingen binnen de regering. Om de door de Lambermont-akkoorden verworven bevoegdheidsverdeling op te vangen, werd in 2001 een tiende lid aan de Vlaamse Regering toegevoegd. Die ministerpost viel de VLD te beurt. In 2002 verwierf de VLD zelfs een vijfde ministerpost. Omdat na de splitsing van VU-ID in Spirit en N-VA alleen Spirit de Vlaamse Regering steunde, verloor die partij één van haar twee ministers aan de VLD. De regering was daarna samengesteld uit vijf ministers van de VLD, twee van de sp.a (de voormalige SP), twee van Agalev en één van Spirit. Bert Anciaux nam ontslag en hij werd als Brussels minister opgevolgd door Guy Vanhengel.
Op 19 maart 2003 werd Steve Stevaert vervangen door Gilbert Bossuyt.
Op 10 juni 2003 werd Guy Vanhengel vervangen door Marino Keulen en werd Patricia Ceysens minister in opvolging van Jaak Gabriels.
Na de federale verkiezingen van 2003 werd de regering opnieuw aangepast.
Mieke Vogels werd vervangen door Adelheid Byttebier.
Vera Dua werd vervangen door Ludo Sannen.
Uiteindelijk deed minister-president Dewael de volledige termijn niet uit. Hij stapte in juni 2003 over naar de federale regering om er vicepremier en minister van Binnenlandse Zaken te worden. Bart Somers volgde hem op als Vlaams minister-president en leidde de Vlaamse Regering tot de verkiezingen van 2004.
Op 10 juni 2003 legde Bart Somers de eed af als vierde minister-president van de Vlaamse Regering. De regering-Somers I was geen splinternieuwe bewindsploeg, maar een voortzetting van de regering van Patrick Dewael, die ontslag had genomen als minister-president om te kunnen toetreden tot de federale regering.
De regering bestond uit 10 ministers van 4 verschillende partijen: VLD (5), sp.a (2), Groen! (2) en Spirit (1).
Op 18 februari 2004 werd Ludo Sannen vervangen door Jef Tavernier."
296,regering,,1999,2004,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1006754&param=informatie,BVR 13/7/1999,https://kaleidos.vlaanderen.be/vergadering/5941820c-dec1-11e9-aa72-0242c0a80002/agenda/5941819e-dec1-11e9-aa72-0242c0a80002/agendapunten/59419a62-dec1-11e9-aa72-0242c0a80002/beslissingen,Dewael I.1,Dewael I,"Verkiezing Vlaams Parlement op 13 juni 1999
Verkiezing Federaal Parlement op 13 juni 1999 en op 18 mei 2003 ",7/13/1999,4/13/2000,,,,,,,
297,mandaat,,1999,2004,,,,Dewael I.1,Dewael I,,,,Patrick,Dewael,VLD,minister-president van de Vlaamse Regering,1,"Vlaams minister van Financiën, Begroting, Buitenlands Beleid en Europese Aangelegenheden",
298,mandaat,,1999,2004,,,,Dewael I.1,Dewael I,,,,Steve,Stevaert,SP,minister vice-president van de Vlaamse Regering,2,"Vlaams minister van Mobiliteit, Openbare Werken en Energie",
299,mandaat,,1999,2004,,,,Dewael I.1,Dewael I,,,,Mieke,Vogels,Agalev,,3,"Vlaams minister van Welzijn, Gezondheid en Gelijke Kansen",
300,mandaat,,1999,2004,,,,Dewael I.1,Dewael I,,,,Bert,Anciaux,VU-ID,,4,"Vlaams minister van Cultuur, Jeugd, Stedelijk Beleid, Huisvesting en Brusselse Aangelegenheden",
301,mandaat,,1999,2004,,,,Dewael I.1,Dewael I,,,,Marleen,Vanderpoorten,VLD,,5,Vlaams minister van Onderwijs en Vorming,
302,mandaat,,1999,2004,,,,Dewael I.1,Dewael I,,,,Renaat,Landuyt,SP,,6,Vlaams minister van Werkgelegenheid en Toerisme,
303,mandaat,,1999,2004,,,,Dewael I.1,Dewael I,,,,Vera,Dua,Agalev,,7,Vlaams minister van Leefmilieu en Landbouw,
304,mandaat,,1999,2004,,,,Dewael I.1,Dewael I,,,,Johan,Sauwens,VU-ID,,8,"Vlaams minister van Binnenlandse Aangelegenheden, Ambtenarenzaken en Sport",
305,mandaat,,1999,2004,,,,Dewael I.1,Dewael I,,,,Dirk,Van Mechelen,VLD,,9,"Vlaams minister van Economie, Ruimtelijke Ordening en Media",
286,regering,,1999,2004,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1007242&param=informatie,BVR 14/04/2000,https://kaleidos.vlaanderen.be/vergadering/594ec3ea-dec1-11e9-aa72-0242c0a80002/agenda/594ec340-dec1-11e9-aa72-0242c0a80002/agendapunten/594f6386-dec1-11e9-aa72-0242c0a80002/beslissingen,Dewael I.2,Dewael I,wijziging bevoegdheid Bert Anciaux,4/14/2000,5/9/2001,Patrick,Dewael,VLD,,,,
287,mandaat,,1999,2004,,,,Dewael I.2,Dewael I,,,,Patrick,Dewael,VLD,minister-president van de Vlaamse Regering,1,"Vlaams minister van Financiën, Begroting, Buitenlands Beleid en Europese Aangelegenheden",
288,mandaat,,1999,2004,,,,Dewael I.2,Dewael I,,,,Steve,Stevaert,SP,minister vice-president van de Vlaamse Regering,9,"Vlaams minister van Mobiliteit, Openbare Werken en Energie",
289,mandaat,,1999,2004,,,,Dewael I.2,Dewael I,,,,Mieke,Vogels,Agalev,,3,"Vlaams minister van Welzijn, Gezondheid en Gelijke Kansen",
290,mandaat,,1999,2004,,,,Dewael I.2,Dewael I,,,,Bert,Anciaux,VU-ID,,4,"Vlaams minister van Cultuur, Jeugd, Brusselse Aangelegenheden en Ontwikkelingssamenwerking",
291,mandaat,,1999,2004,,,,Dewael I.2,Dewael I,,,,Marleen,Vanderpoorten,VLD,,5,Vlaams minister van Onderwijs en Vorming,
292,mandaat,,1999,2004,,,,Dewael I.2,Dewael I,,,,Renaat,Landuyt,SP,,6,Vlaams minister van Werkgelegenheid en Toerisme,
293,mandaat,,1999,2004,,,,Dewael I.2,Dewael I,,,,Vera,Dua,Agalev,,7,Vlaams minister van Leefmilieu en Landbouw,
294,mandaat,,1999,2004,,,,Dewael I.2,Dewael I,,,,Johan,Sauwens,VU-ID,,8,"Vlaams minister van Binnenlandse Aangelegenheden, Ambtenarenzaken en Sport",
295,mandaat,,1999,2004,,,,Dewael I.2,Dewael I,,,,Dirk,Van Mechelen,VLD,,9,"Vlaams minister van Economie, Ruimtelijke Ordening en Media",
277,regering,,1999,2004,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1007956&param=informatie,BVR 10/5/2001,https://kaleidos.vlaanderen.be/vergadering/5967b33c-dec1-11e9-aa72-0242c0a80002/agenda/5967b2ce-dec1-11e9-aa72-0242c0a80002/agendapunten/5967bb8e-dec1-11e9-aa72-0242c0a80002/beslissingen,Dewael I.2.b,Dewael I,Johan Sauwens ontslagnemend op 09.05.2001 ,5/10/2001,5/10/2001,,,,,,,
278,mandaat,,1999,2004,,,,Dewael I.2.b,Dewael I,,,,Patrick,Dewael,VLD,minister-president van de Vlaamse Regering,1,"Vlaams minister van Financiën, Begroting, Buitenlands Beleid en Europese Aangelegenheden",
279,mandaat,,1999,2004,,,,Dewael I.2.b,Dewael I,,,,Steve,Stevaert,SP,minister vice-president van de Vlaamse Regering,2,"Vlaams minister van Mobiliteit, Openbare Werken en Energie",
280,mandaat,,1999,2004,,,,Dewael I.2.b,Dewael I,,,,Mieke,Vogels,Agalev,,3,"Vlaams minister van Welzijn, Gezondheid en Gelijke Kansen",
281,mandaat,,1999,2004,,,,Dewael I.2.b,Dewael I,,,,Bert,Anciaux,VU-ID,,4,"Vlaams minister van Cultuur, Jeugd, Sport, Brusselse Aangelegenheden en Ontwikkelingssamenwerking",
282,mandaat,,1999,2004,,,,Dewael I.2.b,Dewael I,,,,Marleen,Vanderpoorten,VLD,,5,Vlaams minister van Onderwijs en Vorming,
283,mandaat,,1999,2004,,,,Dewael I.2.b,Dewael I,,,,Renaat,Landuyt,SP,,6,Vlaams minister van Werkgelegenheid en Toerisme,
284,mandaat,,1999,2004,,,,Dewael I.2.b,Dewael I,,,,Vera,Dua,Agalev,,7,Vlaams minister van Leefmilieu en Landbouw,
285,mandaat,,1999,2004,,,,Dewael I.2.b,Dewael I,,,,Dirk,Van Mechelen,VLD,,8,"Vlaams minister van Economie, Ruimtelijke Ordening en Media",
267,regering,,1999,2004,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1007959&param=informatie,BVR 11/5/2001,https://kaleidos.vlaanderen.be/vergadering/5967bf8a-dec1-11e9-aa72-0242c0a80002/agenda/5967bf12-dec1-11e9-aa72-0242c0a80002/agendapunten/59682fe2-dec1-11e9-aa72-0242c0a80002/beslissingen,Dewael I.2.c,Dewael I,Eedaflegging van Paul Van Grembergen op 11.05.2001; op 18/05/2001 nog een technische wijziging,5/11/2001,7/31/2001,,,,,,,
268,mandaat,,1999,2004,,,,Dewael I.2.c,Dewael I,,,,Patrick,Dewael,VLD,minister-president van de Vlaamse Regering,1,"Vlaams minister van Financiën, Begroting, Buitenlands Beleid en Europese Aangelegenheden",
269,mandaat,,1999,2004,,,,Dewael I.2.c,Dewael I,,,,Steve,Stevaert,SP,minister vice-president van de Vlaamse Regering,2,"Vlaams minister van Mobiliteit, Openbare Werken en Energie",
270,mandaat,,1999,2004,,,,Dewael I.2.c,Dewael I,,,,Mieke,Vogels,Agalev,,3,"Vlaams minister van Welzijn, Gezondheid en Gelijke Kansen",
271,mandaat,,1999,2004,,,,Dewael I.2.c,Dewael I,,,,Bert,Anciaux,VU-ID,,4,"Vlaams minister van Cultuur, Jeugd, Sport, Brusselse Aangelegenheden en Ontwikkelingssamenwerking",
272,mandaat,,1999,2004,,,,Dewael I.2.c,Dewael I,,,,Marleen,Vanderpoorten,VLD,,5,Vlaams minister van Onderwijs en Vorming,
273,mandaat,,1999,2004,,,,Dewael I.2.c,Dewael I,,,,Renaat,Landuyt,SP,,6,Vlaams minister van Werkgelegenheid en Toerisme,
274,mandaat,,1999,2004,,,,Dewael I.2.c,Dewael I,,,,Vera,Dua,Agalev,,7,Vlaams minister van Leefmilieu en Landbouw,
275,mandaat,,1999,2004,,,,Dewael I.2.c,Dewael I,,,,Dirk,Van Mechelen,VLD,,8,"Vlaams minister van Economie, Ruimtelijke Ordening en Media",
276,mandaat,,1999,2004,,,,Dewael I.2.c,Dewael I,,,,Paul,Van Grembergen,VU-ID,,9,"Vlaams minister van Binnenlandse Aangelegenheden, Huistevesting en Ambtenarenzaken",
256,regering,,1999,2004,https://codex.vlaanderen.be/Zoeken/Document.aspx?DID=1008092&param=informatie,BVR 13/07/2001,https://kaleidos.vlaanderen.be/vergadering/5967bf8a-dec1-11e9-aa72-0242c0a80002/agenda/5967bf12-dec1-11e9-aa72-0242c0a80002/agendapunten/59682fe2-dec1-11e9-aa72-0242c0a80002/beslissingen,Dewael I.3,Dewael I,Eedaflegging van Jaak Gabriels op 10.07.2001; besluit treedit in werking op 1/08/2001,8/1/2001,7/2/2002,,,,,,,
257,mandaat,,1999,2004,,,,Dewael I.3,Dewael I,,,,Patrick,Dewael,VLD,minister-president van de Vlaamse Regering,1,"Vlaams minister van Financiën, Begroting, Buitenlands Beleid en Europese Aangelegenheden",
258,mandaat,,1999,2004,,,,Dewael I.3,Dewael I,,,,Steve,Stevaert,SP,minister vice-president van de Vlaamse Regering,2,"Vlaams minister van Mobiliteit, Openbare Werken en Energie",
259,mandaat,,1999,2004,,,,Dewael I.3,Dewael I,,,,Mieke,Vogels,Agalev,,3,"Vlaams minister van Welzijn, Gezondheid en Gelijke Kansen",
260,mandaat,,1999,2004,,,,Dewael I.3,Dewael I,,,,Bert,Anciaux,VU-ID,,4,"Vlaams minister van Cultuur, Jeugd, Sport, Brusselse Aangelegenheden en Ontwikkelingssamenwerking",
261,mandaat,,1999,2004,,,,Dewael I.3,Dewael I,,,,Marleen,Vanderpoorten,VLD,,5,Vlaams minister van Onderwijs en Vorming,
262,mandaat,,1999,2004,,,,Dewael I.3,Dewael I,,,,Renaat,Landuyt,SP,,6,Vlaams minister van Werkgelegenheid en Toerisme,
263,mandaat,,1999,2004,,,,Dewael I.3,Dewael I,,,,Vera,Dua,Agalev,,7,Vlaams minister van Leefmilieu en Landbouw,
264,mandaat,,1999,2004,,,,Dewael I.3,Dewael I,,,,Dirk,Van Mechelen,VLD,,8,"Vlaams minister van Economie, Ruimtelijke Ordening en Media",
265,mandaat,,1999,2004,,,,Dewael I.3,Dewael I,,,,Paul,Van Grembergen,VU-ID,,9,"Vlaams minister van Binnenlandse Aangelegenheden, Huistevesting en Ambtenarenzaken",
266,mandaat,,1999,2004,,,,Dewael I.3,Dewael I,,,,Jaak,Gabriëls,VLD,,10,"Vlaams minister van Economie, Buitenlands Beleid en Huisvesting",
